,num_saudis_ma;future_nq,day,num_expats_ma;future_nq,profit_ma;future_nq,price_nl;future_nq,wage_saudis_nl;future_nq
4999,148299.9999999989,0,2597.1733156276523,0.9999505641157316,1.0,1.0
5000,148299.9999999989,1,2597.201441840313,0.9999509580271599,1.0,1.0
5001,148299.9999999989,2,2597.2292881901603,0.9999444496697213,1.0,1.0000043170579365
5002,148299.9999999989,3,2597.2568574618995,0.9999301073101844,0.9999594621265062,1.0000603274161515
5003,148301.98019801872,4,2597.2841524125274,0.9999149209761398,0.9998938016203717,1.000078443372317
5004,148311.84197627575,5,2596.316150895985,0.9999098851079592,0.9998267822284665,1.000074961430758
5005,148329.42926387428,6,2593.367731484085,0.9999060523645609,0.9998326611215572,1.0000557694057826
5006,148348.64848637182,7,2590.448649578771,0.9999050244109974,0.9998326611215572,1.0000320142903367
5007,148367.48713020605,8,2587.558613264554,0.999904004648299,0.9998326611215572,1.0000320142903367
5008,148387.9329296079,9,2582.707283779335,0.9999018419422425,0.9998326611215572,1.0000345662036025
5009,148409.95405971466,10,2577.904226229292,0.9998963504656309,0.9998326611215572,1.0000434806228393
5010,148435.49952387874,11,2573.1489602966617,0.999895395443228,0.9998326611215572,1.000010191125594
5011,148462.51933528707,12,2568.441010442964,0.9998923219240704,0.9998326611215572,1.0000052682472362
5012,148490.98429894476,13,2563.7799058614414,0.9998913945902107,0.9998326611215572,0.9999885887678793
5013,148518.88559995574,14,2558.1701555543627,0.9998817661402041,0.9998326611215572,1.000015278382772
5014,148550.19479599624,15,2552.6162236582995,0.99988009789496,0.9998326611215572,1.0000361518152854
5015,148580.8840079567,16,2547.1175547661774,0.9998786079643618,0.9998326611215572,1.000050231151154
5016,148610.96551274962,17,2541.67359899736,0.9998743418092487,0.9998326611215572,1.0000529532718156
5017,148642.43154220012,18,2535.288787067038,0.9998720273005822,0.9998326611215572,1.0000451367888399
5018,148675.25467997833,19,2528.9675056036845,0.9998712569687859,0.9998326611215572,1.00004388745141
5019,148707.42785463223,20,2522.7091224633496,0.9998704927750914,0.9998326611215572,1.00004388745141
5020,148738.96393671873,21,2516.513011792072,0.999863338604023,0.9998045986340167,1.0000718544816283
5021,148773.83593797183,22,2510.3785539632954,0.9998626328850954,0.9997711328767477,1.000070479141987
5022,148808.01740454664,23,2504.3051355158996,0.999861932789426,0.9997702922041511,1.000070479141987
5023,148841.52201039722,24,2497.297124217234,0.9998598468314344,0.9997361346728451,1.0000862626131484
5024,148876.343356726,25,2490.3588443742765,0.9998540845135026,0.9997556395420761,1.0000999135566428
5025,148912.4553694641,26,2484.4846270173184,0.9998516098151107,0.9997277787832508,1.0000989224207841
5026,148949.83249086086,27,2477.673834708688,0.9998453532311931,0.9997817484695064,1.0001021589260808
5027,148986.46947123983,28,2470.930811477756,0.9998409944536847,0.999777779002892,1.0001166186840118
5028,149026.34136289847,29,2464.25488300534,0.999840457752522,0.999777779002892,1.0000866916712727
5029,149065.423712148,30,2457.645381681904,0.9998347413989551,0.9997354976015548,1.0001011276380687
5030,149103.73215349158,31,2450.106621665169,0.9998317699037789,0.9997388161757165,1.0001244634963342
5031,149147.22260589772,32,2440.6528244346696,0.9998277982399232,0.9997388161757165,1.0001035229471753
5032,149189.8518612265,33,2431.293094838305,0.9998218958777982,0.9997290299131568,1.0001184143539728
5033,149231.63697288538,34,2421.031472004093,0.999816320865002,0.9997297900357696,1.000154988905334
5034,149278.53525065,35,2409.876929994102,0.999812362165939,0.9997297900357696,1.0001752499045087
5035,149326.48504766685,36,2398.833378451872,0.9998061982840555,0.9996992331773255,1.0002044113154989
5036,149375.46554177246,37,2387.8997129946397,0.9998038969549737,0.9996788333318446,1.0001897530885555
5037,149423.47612510368,38,2377.0748402285235,0.9998010639279293,0.9996529513122457,1.000194551953988
5038,149472.5162018343,39,2365.362652763563,0.9997917427933742,0.999654607321238,1.0001879733143497
5039,149520.5851879366,40,2353.7670044773586,0.9997830240564203,0.999654607321238,1.000192937113581
5040,149571.66270896757,41,2342.286735776091,0.9997812477434315,0.999654607321238,1.0001804587491177
5041,149625.68918997812,42,2329.9256737285677,0.9997788366809773,0.9996544648822979,1.0001715027227844
5042,149682.60623572112,43,2316.692582447686,0.9997787791036714,0.9996088934214884,1.0001505912755886
5043,149740.3764092712,44,2302.5961388412416,0.9997783553515956,0.9996114881942139,1.0001493049179246
5044,149797.0026189886,45,2288.639958355259,0.9997707205970205,0.9995947354989981,1.0001556950935087
5045,149852.5075176225,46,2274.8226453367984,0.9997660694121022,0.9995925140753426,1.000178398829543
5046,149906.9133093527,47,2261.1428180200146,0.9997626768755272,0.9995741848434307,1.0002054926155342
5047,149960.2417586725,48,2247.5991083879744,0.9997557381510441,0.9995676157295429,1.0002076571094072
5048,150012.51419909482,49,2234.1901620358553,0.9997516126155499,0.9995675907142964,1.0002090092196319
5049,150065.73173970677,50,2220.9146380354982,0.9997512936123155,0.9995675907142964,1.000200292398578
5050,150117.89546763338,51,2206.7761839256923,0.9997450341525315,0.9995614372790208,1.0002214432038383
5051,150171.00644847233,52,2192.7784109513073,0.9997428444376822,0.9995551642138222,1.000203543843452
5052,150223.0657267204,53,2178.9199193000504,0.9997393456032948,0.9995454327438782,1.0002173104945162
5053,150274.0941281715,54,2165.19932308811,0.999735382896994,0.999521543685075,1.0002190028410365
5054,150324.11206622754,55,2150.620225345939,0.9997261648258541,0.9994811407535702,1.0002433041826082
5055,150379.08014412402,56,2136.1861932529446,0.9997265199814569,0.999483139037123,1.0001976233337613
