,num_saudis_ma,num_expats_ma,profit_ma,wage_saudis_nl
4999,58408.679198310696,355411.8700193388,0.9999603129731605,0.9999876018154218
5000,58410.48753101742,355411.7519096936,0.9999606292044501,1.0
5001,58412.26005515568,355411.6349752688,0.9999582323896405,1.0
5002,58415.97767782587,355409.5291546194,0.9999538590030587,1.000007603475039
5003,58423.58208024516,355406.44926253357,0.9999495184297696,1.0001350315815667
5004,58431.03590043833,355403.4000161402,0.9999452124427218,1.0001350315815667
5005,58442.30251627123,355400.381110507,0.9999429344883863,1.000208095372142
5006,58453.346030800516,355394.4071691089,0.9999392415522373,1.000228332825978
5007,58466.15105989357,355388.49266991374,0.9999362230622113,1.000274978723112
5008,58480.68272207389,355381.6419965813,0.999933228634776,1.0002886836913587
5009,58498.88702460707,355373.86446427694,0.9999310480820368,1.0003217160236142
5010,58516.730845901984,355365.16929547815,0.9999272075220648,1.00034033504014
5011,58538.18172024056,355355.5656208963,0.9999244998229164,1.0003119454385359
5012,58559.20782479026,355345.0624803899,0.999921082471476,1.0003949172636983
5013,58579.81757083402,355334.6638487442,0.9999176923499276,1.0003949172636983
5014,58605.95979715414,355323.37366119446,0.9999156336061776,1.0003517397863526
5015,58631.58435562633,355311.2007889438,0.9999120730556121,1.0003623757662794
5016,58662.64209115848,355297.1589900488,0.9999089359486681,1.0004548745300854
5017,58697.045218066225,355281.26686079457,0.9999052723502805,1.0004626737291766
5018,58734.727490975805,355265.5328621797,0.9999033086612283,1.000435129273482
5019,58771.66358026342,355248.96039588936,0.9999002886350177,1.0004426634427532
5020,58813.80885590176,355230.5627800098,0.9998978035794804,1.00047924128094
5021,58857.09976964629,355212.34822498483,0.9998958974161359,1.0005171785993685
5022,58901.51363559389,355192.3248595621,0.9998918722136253,1.000611776049214
5023,58949.008415087075,355172.50073160627,0.9998896726452325,1.0006123444033006
5024,58997.542901917026,355152.873858655,0.9998878273393094,1.000644861258797
5025,59047.09650781966,355132.4472530962,0.9998859967302228,1.0006471850860363
5026,59095.66885419947,355112.223897344,0.9998841807076628,1.0006471850860363
5027,59145.259569957896,355091.20674413664,0.9998823791578675,1.000647326671447
5028,59195.84848936467,355069.40369195613,0.9998805919634768,1.0006715398838841
5029,59245.43564799111,355047.8175855685,0.9998788190096788,1.0006715398838841
5030,59296.02108070416,355024.4562165578,0.9998760506957071,1.0006989025833954
5031,59347.58501970011,355000.3322741045,0.9998733044444806,1.0006868392661246
5032,59402.088286636754,354975.453346004,0.9998715895127247,1.0006286639669695
5033,59455.512280960786,354949.8269445512,0.9998687392715718,1.0006390399084248
5034,59509.858572426914,354922.46548241633,0.9998629096502585,1.0006950195772646
5035,59567.08909574519,354895.37627363607,0.999859434621888,1.0007086632231157
5036,59627.146737413605,354866.56655947055,0.9998564041741136,1.0008144704235236
5037,59689.97551489057,354838.0435091276,0.9998544821218658,1.000894791228747
5038,59755.52055419967,354806.81919560395,0.9998521570275464,1.0009993699917763
5039,59823.72806797789,354774.91054689145,0.9998506066444972,1.0010535366987017
5040,59890.584937918924,354743.31939717114,0.9998490686150978,1.0010535366987017
5041,59956.11790944529,354712.042587249,0.9998475428409127,1.0010535366987017
5042,60020.35319836717,354681.076989366,0.9998460292242909,1.0010535366987017
5043,60083.3165013698,354650.41950688476,0.9998445276683592,1.0010535366987017
5044,60145.03300629318,354620.0670739804,0.9998430380770167,1.0010535366987017
5045,60205.527402208165,354586.0365558313,0.9998351567489646,1.0011499753890762
5046,60264.823889293155,354550.35460005194,0.9998262582567354,1.001294683009033
5047,60328.886782574475,354515.0276886086,0.9998195527395795,1.0014231675292684
5048,60393.66130173142,354480.052288722,0.9998140763311374,1.001347016549566
5049,60461.113553182295,354444.429877889,0.9998096552996378,1.001342737757774
5050,60531.19051252522,354409.161918905,0.9998070192147543,1.001310716546133
5051,60599.8798093069,354374.2448848861,0.9998044041345313,1.001310716546133
5052,60667.20892199389,354339.67528404144,0.9998018098916008,1.001310716546133
5053,60733.2047849247,354305.4496593246,0.9997992363199287,1.001310716546133
5054,60799.873997104405,354271.56458808755,0.9997981034466524,1.0013351660751764
5055,60865.22302686471,354237.02165686275,0.9997957918948673,1.001346482735464
5056,60933.23841247135,354201.8274115208,0.9997931863455346,1.0014633406925284
5057,61001.88715677885,354165.9883327993,0.9997906015610636,1.0013807310437657
5058,61069.17652001096,354130.5058618261,0.9997880373724849,1.0013807310437657
5059,61137.11361862459,354094.3814253901,0.9997850559278333,1.0014789782581182
5060,61203.70542815678,354058.6164360827,0.9997820982397128,1.0014789782581182
5061,61270.95878601507,354022.2122924401,0.9997777199651652,1.0014463625294696
5062,61336.88039421279,353986.1703790825,0.9997733765772675,1.0014463625294696
5063,61403.476822050165,353949.4920668528,0.9997688118609421,1.001428116177781
5064,61476.675300821444,353909.1986134512,0.9997644029239883,1.0015032442594196
5065,61550.40450278537,353869.3060899343,0.9997605545860023,1.0015278816984212
5066,61624.6539185718,353829.8105069499,0.9997576130021266,1.0015498733008863
5067,61701.393444936715,353790.70791484095,0.9997561668701912,1.0016108166153774
5068,61776.613376720146,353751.9944032505,0.9997547322612194,1.0016108166153774
5069,61850.34380490391,353713.66610073054,0.9997533090833948,1.0016108166153774
5070,61922.614224608784,353674.72414947953,0.999750364680252,1.0016363473176455
5071,61993.45354689376,353636.16968033044,0.999747443738489,1.0016363473176455
5072,62066.85050636121,353596.0087879888,0.9997440825295824,1.0018652623422635
5073,62142.754456730305,353556.2475065163,0.9997429655819932,1.0018253492923355
