experamentID,day,num_saudis,num_expats,wage_bill,net_worth,profit,price,demand,production,planned_production,offer_wage_saudis,offer_wage_expats,distributed_profits,wage_saudis,wage_expats,staff,num_firms,hires,fires,applications,decrease_price_bounded,decrease_prices_no_firing,increase_price,increase_price_wage_altered,accepted_wage_expats,accepted_wage_saudis
[B@2f4d3709,0,0,1,115.379032946859,605.175194482589,-115.379032946859,,0.0,341.836597240928,393.376395860114,115.379032946859,26.5802407335563,0.0,,115.379032946859,1,1,1,0,1,0.0,0.0,0.0,0.0,,115.379032946859
[B@2f4d3709,1,0,2,115.379032946859,116970.738371514,116240.902058245,300.0,2218.04592116882,775.708540607948,794.818313598866,115.379032946859,70.5288422597733,0.0,,115.379032946859,1,2,1,0,14,0.0,0.0,0.0,0.0,,57.6895164734294
[B@2f4d3709,2,0,4,153.838710595812,226220.86515023,147924.630271428,300.0,4436.09184233765,1480.78468982024,1198.90914916086,115.379032946859,70.9082155791203,0.0,,115.379032946859,2,3,2,0,26,0.0,0.0,0.0,0.0,,57.6895164734294
[B@2f4d3709,3,0,5,144.223791183573,311637.085332236,141711.393115753,300.0,6654.13776350647,1891.40822542582,1603.81497823442,115.379032946859,76.4492124348158,0.0,,115.379032946859,1,4,1,0,37,0.0,0.0,0.0,0.0,,23.0758065893717
[B@2f4d3709,4,1,5,138.45483953623,387621.756176617,138086.823441076,300.0,8872.18368467529,2303.7546380102,2010.87246197057,115.379032946859,79.7738105482331,0.0,115.379032946859,115.379032946859,1,5,1,0,48,0.0,0.0,0.0,0.0,115.379032946859,0.0
[B@2f4d3709,5,1,6,134.608871771335,459185.351442457,136001.308951784,300.0,11090.2296058441,2722.71835647111,2419.95572916919,115.379032946859,81.9902092905113,0.0,115.379032946859,115.379032946859,1,6,1,0,59,0.0,0.0,0.0,0.0,0.0,19.2298388244765
[B@2f4d3709,6,1,7,131.861751939267,528463.720966315,134717.12777181,300.0,13308.2755270129,3146.47642222081,2829.87155054705,115.379032946859,83.5733512492814,0.0,115.379032946859,115.379032946859,1,7,1,0,72,0.0,0.0,0.0,0.0,0.0,16.4827189924084
[B@2f4d3709,7,1,8,129.801412065216,597023.493762503,134501.563976643,300.0,15526.3214481818,3590.16974369889,3238.09570750443,115.379032946859,84.760707718359,0.0,115.379032946859,115.379032946859,1,8,1,0,83,0.0,0.0,0.0,0.0,0.0,14.4223791183573
[B@2f4d3709,8,1,9,128.19892549651,667765.741318656,136965.998642356,300.0,17744.3673693506,4112.82592703558,3652.94054546278,115.379032946859,85.6842071943083,0.0,115.379032946859,115.379032946859,1,9,1,0,95,0.0,0.0,0.0,0.0,0.0,12.819892549651
[B@2f4d3709,9,1,10,126.916936241545,736551.34008892,135474.760120915,300.0,19962.4132905194,4520.05590190523,4064.24093055291,115.379032946859,86.4230067750677,0.0,115.379032946859,115.379032946859,1,10,1,0,107,0.0,0.0,0.0,0.0,0.0,11.5379032946859
[B@2f4d3709,10,1,11,125.868035942028,805677.331386676,136003.995619149,300.0,22180.4592116882,4991.42833402,4477.8604473139,115.379032946859,87.0274791593254,0.0,115.379032946859,115.379032946859,1,11,1,0,117,0.0,0.0,0.0,0.0,0.0,10.489002995169
[B@2f4d3709,11,2,11,124.993952359097,876648.845004402,138025.496108626,300.0,24398.5051328571,5526.01960243941,4898.48063476097,115.379032946859,87.5312061462068,0.0,115.379032946859,115.379032946859,1,12,1,0,130,0.0,0.0,0.0,0.0,57.6895164734294,0.0
[B@2f4d3709,12,2,12,124.25434317354,946009.959304825,136716.064883307,300.0,26616.5510540259,5929.74716648084,5315.48470839424,115.379032946859,87.957436673568,0.0,115.379032946859,115.379032946859,1,13,1,0,143,0.0,0.0,0.0,0.0,0.0,9.61491941223823
[B@2f4d3709,13,3,12,123.620392443063,1015468.39483357,136966.348234199,300.0,28834.5969751947,6397.53186924329,5736.20544739216,115.379032946859,88.3227771255919,0.0,115.379032946859,115.379032946859,1,14,1,0,155,0.0,0.0,0.0,0.0,38.4596776489529,0.0
[B@2f4d3709,14,3,14,130.76290400644,1090030.47025648,142203.712605523,300.0,31052.6428963635,7116.7237754765,6156.15092516503,115.379032946859,90.0401697008635,0.0,115.379032946859,115.379032946859,2,15,2,0,166,0.0,0.0,0.0,0.0,0.0,16.4827189924084
[B@2f4d3709,15,3,16,137.012601624395,1167877.50900661,145913.040043156,300.0,33270.6888175323,7789.33614105494,6572.12106586711,115.379032946859,93.7257462434575,0.0,115.379032946859,115.379032946859,2,16,2,0,176,0.0,0.0,0.0,0.0,0.0,14.4223791183573
[B@2f4d3709,16,3,18,142.527040699061,1248580.81720908,149348.629709692,300.0,35488.7347387012,8471.16554918884,6994.08300132537,115.319994986971,95.7994708620827,0.0,115.379032946859,115.379032946859,2,17,2,0,186,0.0,0.0,0.0,0.0,0.0,12.819892549651
[B@2f4d3709,17,4,19,147.449906980693,1334306.74405165,155038.961594958,300.0,37706.78065987,9311.18469011631,7420.87956218997,115.400175606566,96.7881720101823,0.0,115.295395837017,115.416670647601,2,18,2,0,198,0.0,0.0,0.0,0.0,28.7611211268731,6.11021838215555
[B@2f4d3709,18,4,21,151.854576811628,1422352.06477669,158223.96643393,300.0,39924.8265810388,10030.4686640136,7845.47242968459,115.419092723146,98.8353043398146,0.0,115.295395837017,115.431208384422,2,19,2,0,208,0.0,0.0,0.0,0.0,0.0,11.0066016080213
[B@2f4d3709,19,4,22,150.040313815258,1508499.60255595,157214.328594009,300.0,42142.8725022076,10490.9579271883,8268.71679007462,115.4266039312,99.6124363547013,0.0,115.295395837017,115.437486043504,1,20,1,0,220,0.0,0.0,0.0,0.0,0.0,5.25315076746472
[B@2f4d3709,20,4,23,148.398837770923,1594109.55227926,157391.665281514,300.0,44360.9184233765,11027.8044883499,8701.63764513989,115.433399786106,100.315555796742,0.0,115.295395837017,115.443217819187,1,21,1,0,231,0.0,0.0,0.0,0.0,0.0,5.02475290800973
[B@2f4d3709,21,4,24,146.906586821527,1677614.98876369,155915.212321238,300.0,46578.9643445453,11444.555386591,9123.92301107063,115.43957783602,100.954755289506,0.0,115.295395837017,115.448471946897,1,22,1,0,243,0.0,0.0,0.0,0.0,0.0,4.81538820350933
[B@2f4d3709,22,4,25,145.544096824253,1759324.332211,154605.537461682,300.0,48797.0102657141,11864.2495861521,9552.35165222304,115.445218664203,101.538372217681,0.0,115.295395837017,115.45330574439,1,23,1,0,255,0.0,0.0,0.0,0.0,0.0,4.62277267536895
[B@2f4d3709,23,4,27,149.110535863595,1842346.46879112,156280.539982744,300.0,51015.056186883,12514.3720414886,9986.83053692718,115.458317920761,103.029812871521,0.0,115.295395837017,115.461899162156,2,24,2,0,268,0.0,0.0,0.0,0.0,0.0,8.56069013957214
[B@2f4d3709,24,4,29,152.391659779789,1928427.50657297,159735.690506504,300.0,53233.1021080518,13324.0068471903,10420.3581495224,115.470369236794,103.639545177684,0.0,115.295395837017,115.469307280919,2,25,2,0,276,0.0,0.0,0.0,0.0,0.0,7.97029771615337
[B@2f4d3709,25,4,30,150.975415822267,2012567.64992264,158266.803210555,300.0,55451.1480292206,13729.5408142861,10857.3064971462,115.474174915541,104.076313709075,0.0,115.295395837017,115.472640934363,1,26,1,0,286,0.0,0.0,0.0,0.0,0.0,3.85231056280746
[B@2f4d3709,26,4,32,153.944423894348,2098583.25804383,160515.468020382,300.0,57669.1939503894,14460.2471199849,11285.1088229445,115.484746245395,107.755309794862,0.0,115.295395837017,115.478683181229,2,27,2,0,297,0.0,0.0,0.0,0.0,0.0,7.22308230526399
[B@2f4d3709,27,4,33,152.573884358272,2182898.43855801,159236.24668472,300.0,59887.2398715582,14876.2899197807,11724.6743875853,115.487766625353,108.01386031574,0.0,115.295395837017,115.481429657077,1,28,1,0,309,0.0,0.0,0.0,0.0,0.0,3.50210051164315
[B@2f4d3709,28,4,34,151.297864790201,2266343.96976318,158680.238039605,300.0,62105.2857927271,15353.7151374249,12157.962986936,115.490578703245,108.303273717066,0.0,115.295395837017,115.484014575523,1,29,1,0,322,0.0,0.0,0.0,0.0,0.0,3.39909755541835
[B@2f4d3709,29,4,37,157.81153431895,2352783.87648614,161951.303708507,300.0,64323.3317138959,16210.9115242826,12607.0102332348,115.493203309278,108.514441399593,0.0,115.295395837017,115.490930978931,3,30,3,0,332,0.0,0.0,0.0,0.0,0.0,9.37048515277491
