,num_saudis_ma
5093,55399.94542431873
5094,55399.946505025284
5095,55399.94756433172
5096,55399.94860266179
5097,55399.94962043086
5098,55399.95061804609
5099,55399.95159590657
5100,55399.95255440347
5101,55399.95349392023
5102,55399.95441483269
5103,55399.95531750927
5104,55399.95620231107
5105,55399.95706959204
5106,55399.957919699125
5107,55399.958752972416
5108,55399.95956974524
5109,55399.96037034434
5110,55399.96115509
5111,55399.961924296134
5112,55399.96267827047
5113,55401.94361533443
5114,55403.88532592186
5115,55405.7885867947
5116,55407.65415933341
5117,55409.48278984166
5118,55411.27520984479
5119,55415.01233440232
5120,55418.67545649336
5121,55422.2660415133
5122,55425.78552583976
5123,55429.23531740729
5124,55432.61679627051
5125,55435.931315156246
5126,55439.18020000464
5127,55442.3647504996
5128,55445.48624058872
5129,55450.526117012705
5130,55455.46619390354
5131,55460.30844748962
5132,55465.05481486606
5133,55469.707194769704
5134,55474.267448338614
5135,55478.73739985666
5136,55485.09903550307
5137,55491.33469816637
5138,55497.4468823611
5139,55503.43803320544
5140,55509.3105473994
5141,55517.04697220337
5142,55524.63020047657
5143,55532.06326581367
5144,55539.349141738145
5145,55546.49074289185
5146,55553.490926200924
5147,55560.35249201873
5148,55567.07818524608
5149,55573.670696429326
5150,55580.13266283666
5151,55586.46666951316
5152,55592.67525031488
5153,55598.7608889225
5154,55606.70621785473
5155,55616.47441156058
5156,55626.049175688095
5157,55635.43434052596
5158,55644.633660515545
5159,55653.65081575286
5160,55664.46961148053
5161,55679.034569669035
5162,55697.27150888351
5163,55715.14732058879
5164,55732.66915582466
5165,55749.844024026155
5166,55766.67879582761
5167,55783.18020581122
5168,55799.35485520109
5169,55815.20921450404
5170,55830.74962609801
5171,55845.982306769336
5172,55860.91335019964
5173,55875.548729403614
5174,55889.894299118394
5175,55903.95579814575
5176,55917.738851647824
5177,55931.24897339737
5178,55944.49156798356
5179,55957.47193297399
5180,55970.19526103391
5181,55982.666642003525
5182,55994.891064934156
5183,56006.87342008397
5184,56018.61850087439
5185,56032.11120382738
5186,56045.33672454367
5187,56058.30035376061
5188,56071.007277448516
5189,56083.46257888518
5190,56095.67124068943
5191,56107.638146814395
5192,56119.36808450124
5193,56130.865746194286
5194,56142.13573141816
5195,56153.182548617806
5196,56164.010616962005
5197,56174.62426811127
5198,56185.02774795064
5199,56195.22521828825
5200,56205.22075852017
