,num_saudis_ma,num_expats_ma,profit_ma
4999,54999.98320690779,359033.7368753353,0.9999711746918234
5000,54999.98353944427,359033.40118503344,0.9999714043755539
5001,54999.98386539587,359033.0688349336,0.9997692012283257
5002,54999.98418489298,359032.7397917999,0.9995686091409973
5003,54999.984498063415,359032.4140227273,0.9993696154354267
5004,54999.98480503245,359032.09149513795,0.9991722073643022
5005,54999.985105922904,359031.77217677835,0.9989763722722566
5006,54999.985400855134,359031.4560357158,0.9987820975633698
5007,54999.985689947105,359031.14304033556,0.9985893708599985
5008,54999.98597331449,359030.83315933717,0.9983981797497826
5009,54999.986251070644,359030.5263617318,0.9982085120502627
5010,54999.98652332666,359029.2275919634,0.9980203576270018
5011,54999.986790191484,359027.94174527714,0.9978337024341852
5012,54999.987051771845,359026.6686930853,0.9976485345695878
5013,54999.9873081724,359025.4083080795,0.9974648422168717
5014,54999.98755949572,359024.16046421806,0.9972826135480766
5015,54999.98780584234,359022.92503671336,0.9971018368505733
5016,54999.988047310806,359021.70190201973,0.9969225006463036
5017,54999.98828399772,359020.4909378205,0.9967445934444747
5018,54999.98851599777,359019.2920230163,0.9965681038630144
5019,54999.98874340375,359018.1050377126,0.9963930205968976
5020,54999.98896630665,359016.929863208,0.9962193323503988
5021,54999.98918479563,359015.7663819821,0.9960470280724555
5022,54999.98939895809,359014.6144776837,0.9958760967928437
5023,54999.98960887971,359014.4690599953,0.9957065255072599
5024,54999.98981464446,359014.3250892491,0.9955383054493423
5025,54999.990016334676,359014.1825510477,0.9953714257981242
5026,54999.990214031015,359014.0414311367,0.9952058758895155
5027,54999.990407812584,359013.901715404,0.9950416450547758
5028,54999.99059775689,359013.7633898776,0.9948787227958514
5029,54999.990783939924,359013.6264407246,0.9947170987575163
5030,54999.99096643617,359013.49085424974,0.9945567625708799
5031,54999.99114531862,359013.356616894,0.9943977039313622
5032,54999.99132065884,359013.2237152334,0.9942399127004798
5033,54999.991492526984,359013.09213597735,0.9940833787284745
5034,54999.99166099181,359012.9618659676,0.9939280920703026
5035,54999.991826120684,359012.8328921769,0.9937740427560205
5036,54999.99198797968,359012.7052017075,0.9936212209263144
5037,54999.99214663355,359012.57878179004,0.9934696168357391
5038,54999.992302145765,359011.45859490655,0.9933192226777624
5039,54999.992454578525,359010.34955416125,0.993170026896807
5040,54999.99260399281,359009.25154864724,0.9930220199377431
5041,54999.99275044841,359008.1644685612,0.9928751923390315
5042,54999.99289400388,359006.0931803168,0.9927278310518934
5043,54999.99303471667,359005.03752678126,0.9925833476188631
5044,54999.99317264307,359003.99237726105,0.9924400154429258
5045,54999.99330783826,359002.95762723853,0.9922978254237529
5046,54999.993440356324,359001.93317323615,0.9921567683718138
5047,54999.99357025025,359000.91891280597,0.9920168351968995
5048,54999.99369757203,358999.91474451934,0.9918780170131423
5049,54999.993822372584,358997.9255430813,0.9917378191031423
5050,54999.99394470184,358996.95115956804,0.991601224221344
5051,54999.994064608734,358995.98647141317,0.9914657177450642
5052,54999.994182141236,358995.0313821454,0.9913312908765811
5053,54999.99429734636,358994.0857962534,0.9911979351433017
5054,54999.9944102702,358993.1496191763,0.9910656419141092
5055,54999.994520957924,358991.2277324183,0.99093305762707
5056,54999.99462945381,358990.31999378727,0.990802874891893
5057,54999.99473580126,358989.4212873814,0.9906737294612016
5058,54999.994840042826,358988.53152332787,0.9905456130338608
5059,54999.994942220204,358987.650612648,0.9904185175468461
5060,54999.995042374256,358986.7784672485,0.9902924349117416
5061,54999.99514054507,358984.91997503705,0.9901673588395314
5062,54999.99523677191,358983.07997528545,0.990043279420996
5063,54999.99533109325,358981.25828398904,0.9899201886996296
5064,54999.99542354684,358979.45471897424,0.9897980787672417
5065,54999.99551416968,358977.66909988,0.9896769418414396
5066,54999.995602998,358975.90124813985,0.9895567701433704
5067,54999.99569006735,358974.15098696435,0.9894375560431081
5068,54999.99577541255,358972.41814132297,0.9893192918580683
5069,54999.99585906775,358970.70253792667,0.9892019700231999
5070,54999.9959410664,358969.00400521094,0.9890855829868194
5071,54999.99602144132,358965.33232356707,0.9889675871111104
5072,54999.996100224664,358935.8265293027,0.9887955941470713
5073,54999.99617744794,358899.64915090165,0.9886231453614939
5074,54999.996253142046,358900.64766681305,0.9885113651807287
5075,54999.99632733725,358902.6312721184,0.9884004736966439
5076,54999.99640006324,358903.60011518194,0.9882884206670742
5077,54999.99647134912,358854.80807423487,0.9880768203671094
5078,54999.99654122339,358802.52142673003,0.9878669999064351
5079,54999.99660971401,358749.7600194989,0.9876589522658084
5080,54999.99667684839,358696.52857651876,0.987452666113578
5081,54999.99674265338,358643.826799638,0.9872481017088104
5082,54999.99680715529,358555.8285230247,0.9869692332809876
5083,54999.99687037994,358463.7307267757,0.9866911056760032
5084,54999.99693235261,358370.559276758,0.9864141059856146
5085,54999.9969930981,358328.06614962604,0.9862180633399529
5086,54999.997052640705,358285.9958396795,0.9860237037186268
5087,54999.99711100425,358242.35409003095,0.9858309574934996
5088,54999.997168212096,358199.14658664755,0.9856398847320541
5089,54999.99722428711,358175.2744813078,0.9854534075704625
5090,54999.997279251715,358152.63493423,0.9852727041815913
5091,54999.99733312792,358127.23558165063,0.9850936173282487
5092,54999.99738593726,358101.093934072,0.9849160618058791
5093,54999.997437700884,358075.21240238973,0.9847401006060247
5094,54999.997488439476,358050.5834232614,0.9845656008604353
5095,55001.97773619315,358081.92090163694,0.9844797443100171
5096,55003.918771120014,358074.140594158,0.9843119920331375
5097,55005.8213697117,358059.4725285445,0.9841456218055122
