,num_saudis_ma,num_expats_ma,profit_ma,price_nl,wage_saudis_nl
4999,72692.91243074188,66120.00925813329,1.00441893745413,0.9998909895224418,0.9999988226379947
5000,72695.03297666778,66085.97931526629,1.004383726797125,1.0,1.0
5001,72697.11153158525,66002.53673501489,1.003899401152977,1.0002466190480108,1.0000222003753514
5002,72699.14892699939,65915.94432969135,1.003359739543841,1.0004577552495093,1.000030812132765
5003,72701.1459779499,65778.47224680884,1.0025876204685045,1.00096921859875,1.0000650597619727
5004,72703.10348333702,65642.36804534806,1.0018366605870674,1.001381256218,1.0001254336761347
5005,72705.02222624124,65484.73254240929,1.0009848082757207,1.0017811521870184,1.0001254336761347
5006,72706.90297423647,65299.80983054453,1.0000162658630172,1.0022565532081555,1.0001363029033583
5007,72708.74647969712,65092.84654864857,0.9989471208300208,1.0029180296875015,1.0001524959123298
5008,72712.53367811895,64889.93265264212,0.997903438270782,1.0034977045396987,1.0001847514130278
5009,72716.24588251264,64690.03282525264,0.9968816145215937,1.0042252173557709,1.0001969603733827
5010,72719.88457790842,64441.3757822153,0.9956396268207061,1.0049358330860443,1.000200573893225
5011,72723.45121993002,64201.1630878649,0.994431965354802,1.0056867237531628,1.000255990881684
5012,72726.94723537695,63941.450022314006,0.9931355541028378,1.006520690356213,1.000311219292987
5013,72730.37402279522,63642.53012159447,0.991646997969651,1.0073054895174245,1.0003124267414427
5014,72733.7329530369,63348.574597996514,0.9901640713982989,1.0081597020189554,1.0003698962882317
5015,72737.02536980846,63057.544004981624,0.9886944034802103,1.0088486740126208,1.000381637791895
5016,72740.25259020829,62771.39928851415,0.9872464822581969,1.0096693405475714,1.0004322189950516
5017,72743.41590525367,62492.08188265828,0.9858416282767731,1.0104350109339606,1.0005472500275152
5018,72746.51658039716,62215.54375447263,0.9844370241729228,1.0112489983810118,1.0005989554824897
5019,72749.55585603285,61947.72739870673,0.9830763434438262,1.0121602061294621,1.0006300767195384
5020,72752.5349479926,61683.57090717731,0.9817107997225849,1.0131965245921897,1.0006686327796506
5021,72755.45504803234,61423.0378633248,0.9803692842656362,1.014090031354415,1.0007516097565765
5022,72758.31732430893,61166.092212943455,0.9790602686228174,1.0149265887075487,1.0007756384540962
5023,72761.12292184737,60887.822638685306,0.9776335760293299,1.0157749074261821,1.0008324848217802
5024,72765.8531610187,60610.331866161076,0.976169990148399,1.0166107102550719,1.0008837682401712
5025,72770.48973208763,60332.617121224146,0.9746748172119726,1.0177680538317224,1.0009181342613336
5026,72775.03448986809,60063.63585633634,0.9732277291027304,1.0186790344004826,1.0009330220732326
5027,72779.48925244495,59772.45540005439,0.971611982009088,1.0195851488049041,1.000969600059303
5028,72783.85580190149,59494.122510501606,0.9700455870315251,1.0205872840073977,1.0010373561973513
5029,72788.13588503216,59190.6984059195,0.968380611916756,1.0216143895768504,1.0010605056396908
5030,72792.33121404142,58864.42279989045,0.966598165648902,1.0226513564551714,1.001134180389433
5031,72796.4434672287,58517.51312028955,0.9646719095269464,1.023946412198051,1.0011935503924037
5032,72800.47428965983,58175.05030317223,0.9627804727845992,1.0251430420465957,1.001215602108344
5033,72804.42529382497,57840.970200653115,0.9609336536538983,1.0264480656157533,1.0012612553545852
5034,72808.2980602839,57509.21925338294,0.9591035478288398,1.0274669259554667,1.0012798304509205
5035,72812.09413829807,57179.774285687585,0.9572737196014648,1.0286009256917676,1.001324548619233
5036,72815.81504645056,56856.59245199915,0.9554878685860244,1.0297339037080728,1.001364465336403
5037,72819.46227325352,56509.76068630762,0.9535688302734112,1.0308679832509737,1.0014124048942938
5038,72823.03727774356,56166.37998296127,0.951661063313809,1.0322105432275324,1.0014205998136612
5039,72826.54149006546,55832.38615228504,0.9498051157650299,1.033528746270334,1.0014840303271373
5040,72829.97631204435,55480.82012091902,0.9478945293258682,1.034650547977115,1.0015027693962186
5041,72833.34311774647,55132.75225901932,0.9460094215504129,1.0364065573944747,1.0015469314695795
5042,72836.64325402872,54752.32686340719,0.9439820724423199,1.0378423569251007,1.0015469314695795
5043,72839.87804107765,54370.71167073647,0.9419499731238791,1.039199694306106,1.0015753032370691
5044,72843.0487729375,53996.87374366446,0.9399646956210245,1.0404583186535175,1.0016352943914095
5045,72846.15671802785,53627.750621836945,0.9380008003633412,1.0419815530909993,1.0016491973385877
5046,72849.20311965107,53230.45957087339,0.9359808573541157,1.043673360887617,1.0017459214585573
5047,72852.18919648965,52836.126639819915,0.9339907468105897,1.0452924198615037,1.001778624386187
5048,72855.11614309382,52448.702494150064,0.9320143536977371,1.0468936159515407,1.0018278833967205
5049,72857.98513035929,52070.1084394819,0.9301156916154625,1.048507085330681,1.0018874416644536
5050,72860.79730599574,51696.27651471093,0.9282404279962483,1.0501360919580587,1.0019202639670075
5051,72863.55379498593,51328.15436033569,0.9264032991364753,1.0516632608176815,1.0019682580172347
5052,72866.25570003569,50959.71501346668,0.9245663139365354,1.0531728840619106,1.0019780931742095
5053,72870.88430003499,50597.92680437746,0.9227760345471462,1.0547301422025697,1.0020683173615499
5054,72875.42124458875,50247.69867697072,0.9210287137097276,1.0561826659337228,1.0021886135204305
5055,72879.86834865631,49896.97530705061,0.9192804508368617,1.0576673760232536,1.0021951186217612
5056,72886.20758927696,49552.7267965327,0.9175759666249036,1.0593068024691303,1.002230540477839
5057,72892.42130038039,49224.83896771148,0.9159794610768216,1.0607655908320521,1.0022838694327039
5058,72898.51196769958,48910.16395310738,0.9144449245005126,1.0621537649581205,1.0023672410024131
5059,72904.48202774514,48591.65485904661,0.9128693116850622,1.0635151010395993,1.0024136834962214
