experamentID,day,num_saudis,num_expats,wage_bill,net_worth,profit,price,demand,production,planned_production,offer_wage_saudis,offer_wage_expats,distributed_profits,wage_saudis,wage_expats,staff,num_firms,hires,fires,applications,decrease_price_bounded,decrease_prices_no_firing,increase_price,increase_price_wage_altered,accepted_wage_expats,accepted_wage_saudis
[B@2f4d3709,0,0,1,115.379032946859,810.248131367634,-115.379032946859,,0.0,388.572709986149,391.699775720546,115.379032946859,26.5802407335563,0.0,,115.379032946859,1,1,1,0,1,0.0,0.0,0.0,0.0,,115.379032946859
[B@2f4d3709,1,0,2,115.379032946859,124741.037576016,123954.690280124,300.0,2218.04592116882,827.133795420469,792.727187068889,115.379032946859,70.6761827094729,0.0,,115.379032946859,1,2,1,0,11,0.0,0.0,0.0,0.0,,57.6895164734294
[B@2f4d3709,2,0,4,153.838710595812,240240.551493348,156732.537501604,300.0,4436.09184233765,1568.863762122,1197.32763026953,115.379032946859,70.6326678448249,0.0,,115.379032946859,2,3,2,0,22,0.0,0.0,0.0,0.0,,57.6895164734294
[B@2f4d3709,3,0,5,144.223791183573,330919.032482598,150454.255929846,300.0,6654.13776350647,2007.97972961373,1604.37451626273,115.379032946859,76.1392212337335,0.0,,115.379032946859,1,4,1,0,33,0.0,0.0,0.0,0.0,,23.0758065893717
[B@2f4d3709,4,0,6,138.45483953623,411928.939671039,146985.624288111,300.0,8872.18368467529,2452.06798546078,2013.39190886166,115.379032946859,79.4431532670786,0.0,,115.379032946859,1,5,1,0,44,0.0,0.0,0.0,0.0,,19.2298388244765
[B@2f4d3709,5,0,7,134.608871771335,487646.488399319,144191.217624249,300.0,11090.2296058441,2886.51652992042,2419.65434237328,115.379032946859,81.6457746226421,0.0,,115.379032946859,1,6,1,0,55,0.0,0.0,0.0,0.0,,16.4827189924084
[B@2f4d3709,6,0,8,131.861751939267,563820.960241189,145728.977166841,300.0,13308.2755270129,3403.41957477154,2831.10280880954,115.379032946859,83.2190755909017,0.0,,115.379032946859,1,7,1,0,67,0.0,0.0,0.0,0.0,,14.4223791183573
[B@2f4d3709,7,0,9,129.801412065216,639167.007007944,145695.136607549,300.0,15526.3214481818,3888.66501385638,3239.9225401732,115.379032946859,84.3990513170964,0.0,,115.379032946859,1,8,1,0,79,0.0,0.0,0.0,0.0,,12.819892549651
[B@2f4d3709,8,0,10,128.19892549651,711522.692716116,143260.153204213,300.0,17744.3673693506,4301.65056389128,3653.02358238261,115.379032946859,85.3168102152478,0.0,,115.379032946859,1,9,1,0,88,0.0,0.0,0.0,0.0,,11.5379032946859
[B@2f4d3709,9,0,11,126.916936241545,782519.824570887,142068.019236736,300.0,19962.4132905194,4739.83120576593,4061.94591748602,115.379032946859,86.0510173337689,0.0,,115.379032946859,1,10,1,0,101,0.0,0.0,0.0,0.0,,10.489002995169
[B@2f4d3709,10,0,12,125.868035942028,852843.913280494,141371.027979542,300.0,22180.4592116882,5188.21952056773,4476.68756931356,115.379032946859,86.6517322489226,0.0,,115.379032946859,1,11,1,0,114,0.0,0.0,0.0,0.0,,9.61491941223823
[B@2f4d3709,11,0,13,124.993952359097,922789.725809446,140922.428763677,300.0,24398.5051328571,5641.89690864143,4891.41939583598,115.379032946859,87.1523280115507,0.0,,115.379032946859,1,12,1,0,126,0.0,0.0,0.0,0.0,,8.87531022668144
[B@2f4d3709,12,0,14,124.25434317354,993007.128356635,141116.787930119,300.0,26616.5510540259,6120.44516517602,5308.34006895144,115.379032946859,87.5759090414667,0.0,,115.379032946859,1,13,1,0,139,0.0,0.0,0.0,0.0,,8.2413594962042
[B@2f4d3709,13,0,15,123.620392443063,1062016.68039774,139856.959103264,300.0,28834.5969751947,6532.427043133,5725.38865524654,115.379032946859,87.9389784956804,0.0,,115.379032946859,1,14,1,0,152,0.0,0.0,0.0,0.0,,7.69193552979058
[B@2f4d3709,14,0,16,123.070968476649,1129891.9865463,138600.635570865,300.0,31052.6428963635,6936.1853269671,6148.71690004311,115.379032946859,88.2536386893324,0.0,,115.379032946859,1,15,1,0,163,0.0,0.0,0.0,0.0,,7.21118955917867
[B@2f4d3709,15,0,17,122.590222506037,1197722.37846518,138382.364899567,300.0,33270.6888175323,7386.93093984391,6571.72507161899,115.379032946859,88.5289663587778,0.0,,115.379032946859,1,16,1,0,175,0.0,0.0,0.0,0.0,,6.78700193805051
[B@2f4d3709,16,0,19,128.95303682296,1271428.77149109,144101.166356305,300.0,35488.7347387012,8173.04009894392,6998.12296605034,115.379032946859,90.1239192043805,0.0,,115.379032946859,2,17,2,0,188,0.0,0.0,0.0,0.0,,12.1451613628272
[B@2f4d3709,17,1,19,128.19892549651,1343923.04391071,143075.618505653,300.0,37706.78065987,8592.22904586898,7422.62850690995,115.379032946859,90.9032027523173,0.0,115.379032946859,115.379032946859,1,18,1,0,198,0.0,0.0,0.0,0.0,115.379032946859,0.0
[B@2f4d3709,18,1,20,127.524194309686,1415335.78152287,142093.074007127,300.0,39924.8265810388,9007.30455275766,7852.49792803677,115.379032946859,91.6004564531028,0.0,115.379032946859,115.379032946859,1,19,1,0,209,0.0,0.0,0.0,0.0,0.0,5.76895164734294
[B@2f4d3709,19,1,22,132.685887888888,1489075.44701984,144452.688404727,300.0,42142.8725022076,9639.02495284103,8270.62377717482,115.379032946859,93.4014074903288,0.0,115.379032946859,115.379032946859,2,20,2,0,221,0.0,0.0,0.0,0.0,0.0,10.489002995169
[B@2f4d3709,20,1,23,131.861751939267,1561783.71449479,143565.632090218,300.0,44360.9184233765,10058.824568951,8699.96439879242,115.379032946859,94.1984442431246,0.0,115.379032946859,115.379032946859,1,21,1,0,233,0.0,0.0,0.0,0.0,0.0,5.01647969334168
[B@2f4d3709,21,1,25,136.357038937197,1638948.437676,148108.792253106,300.0,46578.9643445453,10871.3109480831,9136.71788000881,115.379032946859,95.8297522213113,0.0,115.379032946859,115.379032946859,2,22,2,0,245,0.0,0.0,0.0,0.0,0.0,9.2303226357487
[B@2f4d3709,22,2,25,135.444951720226,1715443.5218274,147709.227114022,300.0,48797.0102657141,11334.7581917069,9560.61778461689,115.379032946859,96.505547802204,0.0,115.379032946859,115.379032946859,1,23,1,0,256,0.0,0.0,0.0,0.0,57.6895164734294,0.0
[B@2f4d3709,23,2,26,134.608871771335,1792222.43398217,148220.142413002,300.0,51015.056186883,11868.3801027818,9994.23244429631,115.379032946859,97.1250270846891,0.0,115.379032946859,115.379032946859,1,24,1,0,268,0.0,0.0,0.0,0.0,0.0,4.43765511334072
[B@2f4d3709,24,2,27,133.839678218356,1868094.43122199,147519.751548985,300.0,53233.1021080518,12304.4659356003,10428.5414827252,115.379032946859,97.6949480245753,0.0,115.379032946859,115.379032946859,1,25,1,0,279,0.0,0.0,0.0,0.0,0.0,4.27329751655032
[B@2f4d3709,25,2,28,133.129653400222,1942806.92673771,146523.96111317,300.0,55451.1480292206,12710.2811997694,10860.414037011,115.379032946859,98.2210288921626,0.0,115.379032946859,115.379032946859,1,26,1,0,291,0.0,0.0,0.0,0.0,0.0,4.1206797481021
[B@2f4d3709,26,2,30,136.74552052961,2021007.32465777,150118.414223183,300.0,57669.1939503894,13522.9643769342,11291.5599007558,115.379032946859,101.994019899164,0.0,115.379032946859,115.379032946859,2,27,2,0,301,0.0,0.0,0.0,0.0,0.0,7.69193552979058
[B@2f4d3709,27,2,31,135.982431687369,2098018.96397163,149156.516507347,300.0,59887.2398715582,13933.9665676432,11730.4820687573,115.379032946859,102.399091095885,0.0,115.379032946859,115.379032946859,1,28,1,0,312,0.0,0.0,0.0,0.0,0.0,3.72190428860835
[B@2f4d3709,28,3,32,139.25055700483,2178729.34991609,153027.776675432,300.0,62105.2857927271,14806.1459658022,12172.1623019607,115.379032946859,103.146902466881,0.0,115.379032946859,115.379032946859,2,29,2,0,322,0.0,0.0,0.0,0.0,38.4596776489529,3.60559477958934
[B@2f4d3709,29,4,33,142.300807301126,2262454.06159901,156309.332294175,300.0,64323.3317138959,15645.1633101476,12618.3297083796,115.379032946859,103.655954245322,0.0,115.379032946859,115.379032946859,2,30,2,0,333,0.0,0.0,0.0,0.0,28.8447582367147,3.49633433172299
[B@2f4d3709,30,4,35,145.154267255726,2348598.06711295,159095.679766924,300.0,66541.3776350647,16454.8861835319,13058.5679885101,115.379032946859,104.685927169301,0.0,115.379032946859,115.379032946859,2,31,2,0,344,0.0,0.0,0.0,0.0,0.0,6.59308759696336
[B@2f4d3709,31,4,36,144.223791183573,2432880.5734962,157645.188062379,300.0,68759.4235562335,16830.8705977133,13501.367540209,115.379032946859,105.016690974305,0.0,115.379032946859,115.379032946859,1,32,2,-1,356,0.0,0.0,0.0,0.0,0.0,6.23670448361399
[B@2f4d3709,32,4,38,146.846041932366,2518792.40028936,159608.848742954,300.0,70977.4694774024,17573.1264263375,13952.7007600303,115.379032946859,106.005660922971,0.0,115.379032946859,115.379032946859,2,33,2,0,368,0.0,0.0,0.0,0.0,0.0,5.91687348445429
[B@2f4d3709,33,4,39,145.920541668086,2603484.63356544,158748.236012948,300.0,73195.5153985712,18008.0044095231,14392.8687126536,115.379032946859,106.280999636581,0.0,115.379032946859,115.379032946859,1,34,1,0,378,0.0,0.0,0.0,0.0,0.0,2.88447582367147
[B@2f4d3709,34,4,40,145.047927133194,2687628.13690652,158504.204717105,300.0,75413.56131974,18509.0794751611,14843.0138988229,115.379032946859,106.540604709412,0.0,115.379032946859,115.379032946859,1,35,1,0,391,0.0,0.0,0.0,0.0,0.0,2.81412275480143
[B@2f4d3709,35,4,43,150.633737458399,2775712.85899161,162712.743067295,300.0,77631.6072409088,19543.6052165704,15295.8700691871,115.379032946859,107.482989007223,0.0,115.379032946859,115.379032946859,3,36,3,0,400,0.0,0.0,0.0,0.0,0.0,7.86675224637673
[B@2f4d3709,36,5,44,152.774409879813,2865543.82338249,164817.643085033,300.0,79849.6531620777,20346.3514910393,15746.3402628191,115.354182978129,108.005697405903,0.0,115.379032946859,115.358136382245,2,37,2,0,411,0.0,0.0,0.0,0.0,23.0758065893717,2.54354631341883
[B@2f4d3709,37,5,45,151.778223002064,2954005.13018037,163842.820746646,300.0,82067.6990832465,20772.6492028221,16200.530110286,115.342738913582,108.202576721874,0.0,115.379032946859,115.348384652092,1,38,1,0,420,0.0,0.0,0.0,0.0,0.0,2.49824583750768
[B@2f4d3709,38,5,47,153.779771567413,3042227.03813425,163939.841815218,300.0,84285.7450044154,21332.1708062821,16646.491331626,115.320093918461,108.504585327925,0.0,115.379032946859,115.330126093507,2,39,2,0,433,0.0,0.0,0.0,0.0,0.0,4.78830452188971
